IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.174.27,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,4.78
8.218.122.55,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,4.76
8.218.11.90,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,4.73
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,4.68
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,4.65
47.243.243.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,4.64
8.217.193.25,2086,2086,false,HKG,Asia Pacific,Hong Kong,43,4.64
47.243.42.219,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,4.60
8.218.53.110,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,4.54
47.76.98.98,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,4.52
8.210.39.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,4.49
8.217.207.60,80,80,false,HKG,Asia Pacific,Hong Kong,47,4.46
47.243.90.180,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,4.39
8.217.147.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,44,4.39
8.218.122.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,4.38
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,4.35
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,4.31
8.217.251.62,80,80,false,HKG,Asia Pacific,Hong Kong,41,4.24
47.243.183.127,80,80,false,HKG,Asia Pacific,Hong Kong,41,4.23
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,36,4.23
8.217.123.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,43,4.22
8.210.245.224,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,4.19
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,4.19
47.242.176.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,4.18
8.218.207.169,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,4.17
47.243.86.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,4.15
47.243.173.187,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,4.13
47.243.169.63,2087,2087,true,HKG,Asia Pacific,Hong Kong,37,4.12
8.210.39.96,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,4.09
8.217.91.121,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,4.03
8.217.164.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,3.99
8.218.243.95,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,3.96
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,35,3.93
47.243.60.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,3.91
8.218.22.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,3.80
8.218.65.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,3.77
8.218.122.55,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,3.75
47.243.173.187,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,3.70
8.218.122.55,80,80,false,HKG,Asia Pacific,Hong Kong,45,3.56
8.217.91.121,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,3.56
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,3.54
8.217.49.34,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,3.42
47.76.204.76,80,80,false,HKG,Asia Pacific,Hong Kong,35,3.31
47.243.42.219,80,80,false,HKG,Asia Pacific,Hong Kong,37,3.31
8.218.11.90,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,3.25
8.210.39.96,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,3.13
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,3.09
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,3.07
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,37,2.48
47.76.146.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,2.41
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,2.25
47.76.204.76,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,2.09
47.76.214.139,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,1.53
47.76.214.139,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,1.46
47.76.29.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,1.13
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,37,1.06
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,39,0.95
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,0.80
8.218.63.172,443,443,true,HKG,Asia Pacific,Hong Kong,45,0.70
47.76.146.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,0.50
47.76.94.15,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,0.44
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,39,0.29
47.76.29.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,0.22
207.226.152.42,443,443,true,HKG,Asia Pacific,Hong Kong,347,0.16
43.159.196.17,443,443,true,HKG,Asia Pacific,Hong Kong,41,0.12
101.36.111.171,34237,2096,true,HKG,Asia Pacific,Hong Kong,37,0.12
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,128,0.09
152.32.190.239,4431,443,true,HKG,Asia Pacific,Hong Kong,32,0.09
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,42,0.08
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,34,0.07
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,39,0.07
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,44,0.04
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,0.00
47.57.13.107,443,443,true,HKG,Asia Pacific,Hong Kong,36,0.00
123.58.212.234,443,443,true,HKG,Asia Pacific,Hong Kong,36,0.00
8.217.239.116,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,0.00
47.76.203.101,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,0.00
47.242.252.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,0.00
8.217.149.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,0.00
47.243.234.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.217.85.14,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,0.00
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.210.207.214,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.00
47.243.18.199,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,0.00
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.243.139.243,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,0.00
47.242.234.127,80,80,false,HKG,Asia Pacific,Hong Kong,40,0.00
47.242.234.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,0.00
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,179,0.00
47.242.174.27,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,0.00
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,0.00
47.243.26.83,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.85.14,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,0.00
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.42.153,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.248.220,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.243.234.9,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,0.00
47.243.243.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,0.00
8.210.89.245,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,0.00
8.217.72.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,0.00
47.243.139.243,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,0.00
47.242.107.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,0.00
8.217.232.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,0.00
47.242.183.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.119.104,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,0.00
47.243.60.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,0.00
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,0.00
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,0.00
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,34,0.00
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,0.00
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,0.00
47.242.174.27,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,0.00
8.218.18.235,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.00
47.243.107.148,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.218.188.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,0.00
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,0.00
47.238.0.114,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,0.00
47.243.74.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,0.00
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,39,0.00
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.238.0.114,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,0.00
47.243.234.9,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,0.00
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,0.00
43.154.96.33,443,443,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.252.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,0.00
47.243.206.150,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.217.248.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,0.00
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.217.250.222,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,0.00
8.210.55.134,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.210.9.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,40,0.00
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,0.00
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.228.152,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,0.00
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.210.207.214,80,80,false,HKG,Asia Pacific,Hong Kong,41,0.00
47.76.203.101,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,0.00
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,0.00
8.217.251.62,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.211.17,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.217.123.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,0.00
8.217.248.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,0.00
219.76.13.177,443,443,true,HKG,Asia Pacific,Hong Kong,120,0.00
8.210.65.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,0.00
47.242.107.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,0.00
8.218.142.253,2087,2087,true,HKG,Asia Pacific,Hong Kong,35,0.00
8.217.154.218,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,0.00
8.210.89.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,0.00
219.76.13.181,443,443,true,HKG,Asia Pacific,Hong Kong,120,0.00
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,0.00
219.76.13.164,443,443,true,HKG,Asia Pacific,Hong Kong,129,0.00
219.76.13.169,443,443,true,HKG,Asia Pacific,Hong Kong,128,0.00
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,127,0.00
8.217.250.5,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,0.00
8.218.243.95,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,0.00
8.218.146.204,2052,2052,false,HKG,Asia Pacific,Hong Kong,43,0.00
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.218.155.238,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,38,0.00
